Időpont,Tevékenység,Helyszín
07:30–08:30,Reggeli,Grand Hotel Marosvásárhely
08:45–09:10,Áhítat,Díszterem – Református Kollégium
10:00–13:00,Írásbeli próba a diákoknak,Református Kollégium
14:00–15:00,Ebéd,Grand Hotel Marosvásárhely
16:00–19:00,"Városlátogatás (állatkert, Kultúrpalota, vár)",
19:00,Vacsora,Grand Hotel Marosvásárhely
20:00,Eredményhirdetés,Református Kollégium
20:00–20:30,Technikai megbeszélés,Vizsgatermek
20:30–21:00,Óvások,Református Kollégium
21:00,Refi-színpad,Díszterem – Református Kollégium
